stuID,schID,gender,pre_region,trans_stu,trans_pa,trans,pre_frendship_1a,pre_frendship_2a,pre_frendship_3a,pre_frendship_4a,pre_frendship_5a,pre_frendship_1b,pre_frendship_2b,pre_frendship_3b,pre_frendship_4b,pre_frendship_5b,pre_frendship_6b,post_frendship_1a,post_frendship_2a,post_frendship_3a,post_frendship_4a,post_frendship_5a,post_frendship_1b,post_frendship_2b,post_frendship_3b,post_frendship_4b,post_frendship_5b,post_frendship_6b,satisfac_stu_1,satisfac_stu_2,satisfac_stu_3,satisfac_stu_4,satisfac_stu_5,satisfac_pa_safety_1,satisfac_pa_safety_2,satisfac_pa_safety_3,satisfac_pa_safety_4,satisfac_pa_safety_5,satisfac_pa_safety_6,satisfac_pa_edu_1,satisfac_pa_edu_2,satisfac_pa_edu_3,satisfac_pa_edu_4,satisfac_pa_edu_5,satisfac_pa_edu_6,satisfac_pa_edu_7,satisfac_pa_edu_8,enthu_pa_1,enthu_pa_2,enthu_pa_3,enthu_pa_4,enthu_pa_5,enthu_pa_6,enthu_pa_7,enthu_pa_8,enthu_pa_9,enthu_pa_10,enthu_pa_11,SES,prefer_Hsch,prefer_Hsch_dum_1,prefer_Hsch_dum_2,prefer_Hsch_dum_3,prefer_Hsch_dum_4,prefer_Hsch_dum_5,prefer_Hsch_dum_6,prefer_Hsch_dum_7,prefer_Hsch_dum_8,academic_abil,trans_Y1,multicultur_per,sch_SES,sch_academic_abil
55,1002,2,1,2,2,0,5,5,4,5,4,3,2,1,3,2,5,4,3,3,4,3,4,3,2,3,2,3,4,4,4,4,4,4,4,5,4,4,4,5,5,5,5,5,5,5,5,4,4,2,3,3,4,4,4,4,4,4,700,1,1,0,0,0,0,0,0,0,196.6666667,0,6.756756757,472.4193548,197.7395833
56,1002,1,1,2,2,0,4,3,4,3,5,4,4,2,3,2,3,4,4,3,3,3,3,4,2,4,2,4,3,3,1,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,3,4,4,4,4,2,1,3,4,4,1,300,1,1,0,0,0,0,0,0,0,194.6666667,1,6.756756757,472.4193548,197.7395833
57,1002,2,1,2,2,0,4,5,4,5,4,3,3,3,3,3,3,5,5,5,5,3,5,5,4,5,5,5,3,3,3,2,2,4,3,3,3,4,3,2,3,2,3,3,3,3,3,3,3,1,1,4,3,2,2,4,3,3,200,1,1,0,0,0,0,0,0,0,162.3333333,0,6.756756757,472.4193548,197.7395833
58,1002,2,1,2,2,0,5,4,3,5,4,4,4,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,4,4,2,4,5,3,3,3,4,3,4,4,4,4,3,3,4,4,4,3,3,3,4,3,1,2,5,4,4,3,105,2,0,1,0,0,0,0,0,0,198.6666667,0,6.756756757,472.4193548,197.7395833
59,1002,2,1,2,2,0,4,4,5,5,4,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,3,4,3,3,4,4,4,4,4,4,4,4,4,3,3,3,3,4,3,3,3,4,4,3,240,1,1,0,0,0,0,0,0,0,218.6666667,1,6.756756757,472.4193548,197.7395833
60,1002,2,1,2,2,0,5,4,4,5,4,4,3,4,4,4,4,5,4,4,5,4,4,4,4,4,4,4,4,3,3,4,4,2,2,3,3,3,3,3,3,3,2,3,3,3,3,3,3,2,4,4,4,2,4,4,4,2,150,1,1,0,0,0,0,0,0,0,196.3333333,0,6.756756757,472.4193548,197.7395833
61,1002,2,1,2,2,0,5,4,4,4,4,4,4,4,4,5,5,5,5,4,5,5,4,4,5,5,3,3,4,5,5,5,5,4,2,2,3,4,4,3,4,4,3,4,5,3,3,4,3,1,2,5,4,3,3,4,3,1,400,3,0,0,1,0,0,0,0,0,216.6666667,0,6.756756757,472.4193548,197.7395833
62,1002,2,1,2,2,0,4,5,3,4,3,4,2,3,3,5,5,4,5,3,4,4,3,3,4,3,2,3,5,3,3,4,4,3,2,4,3,4,4,3,4,4,3,5,4,4,3,3,4,3,3,3,3,3,4,5,4,3,500,1,1,0,0,0,0,0,0,0,#DIV/0!,0,6.756756757,472.4193548,197.7395833
63,1002,1,1,2,2,0,4,4,3,4,4,5,5,5,5,5,5,4,3,4,4,4,4,4,4,4,4,4,3,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,2,4,1,3,3,3,2,3,5,5,3,500,5,0,0,0,0,1,0,0,0,183.3333333,1,6.756756757,472.4193548,197.7395833
64,1002,1,1,2,2,0,5,5,5,5,5,3,1,1,1,1,1,5,5,4,5,4,2,3,2,2,2,3,3,4,4,2,1,4,4,4,4,3,4,4,4,4,3,3,3,4,3,3,5,3,4,4,4,4,4,5,4,4,450,1,1,0,0,0,0,0,0,0,163.3333333,0,6.756756757,472.4193548,197.7395833
